dataset,model,depth,seed,best_epoch,best_val,test_best,target_h,realized_h
RW-Roman-empire-H0.1-LOW,GCN,2,5,2086,0.4064430892467499,0.4140061140060425,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCN,4,1,49,0.27007943391799927,0.2598245441913605,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCN,4,2,57,0.26390114426612854,0.250687837600708,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCN,4,3,35,0.2652250826358795,0.25572341680526733,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCN,4,4,83,0.2577228546142578,0.25660592317581177,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCN,4,5,47,0.2683142125606537,0.2611742615699768,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCN,8,1,1679,0.20300088822841644,0.18704251945018768,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCN,8,2,2157,0.25242719054222107,0.25001296401023865,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCN,8,3,1681,0.2506619691848755,0.23625603318214417,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCN,8,4,2396,0.25286850333213806,0.25032445788383484,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCN,8,5,111,0.18490733206272125,0.16778279840946198,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,10,1,2028,0.5260370969772339,0.5006489157676697,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,10,2,781,0.5255957841873169,0.5210506916046143,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,10,3,1076,0.5847308039665222,0.5790375471115112,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,10,4,583,0.5939982533454895,0.5817369818687439,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,10,5,487,0.581200361251831,0.5585837960243225,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,2,1,107,0.657105028629303,0.6483413577079773,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,2,2,837,0.657105028629303,0.6478222608566284,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GraphSAGEPairNorm,2,3,202,0.6513680815696716,0.6520791053771973,0.1,0.0999787375330925
